Qual a conexão entre matrizes (\(A\mathbf{x}=\mathbf{b}\)) e Circuitos Elétricos?;\(\text{A Matriz } A \text{ é a representação do circuito. Na análise nodal típica, a diagonal principal é a soma das condutâncias conectadas ao nó, e os termos fora da diagonal são as condutâncias compartilhadas (negativas).}\)
Sistema Linear Impossível (\(\det(A) = 0\)) aplicado a Circuitos;\(\text{Significa que o circuito está mal definido (ex: duas fontes de tensão diferentes em paralelo, curto-circuito impossível).}\)
Princípio da Superposição em Sistemas Lineares Elétricos;\(\text{A resposta total (Tensão/Corrente) é a soma das respostas individuais de cada fonte operando sozinha no circuito.}\)
Para aplicar a Superposição, como "desligamos" as fontes?;\(\text{Fontes de Tensão } \implies \text{Curto-Circuito (Fio Liso). Fontes de Corrente } \implies \text{Circuito Aberto.}\)
O que um Autovalor (\(\lambda\)) Real Negativo significa num sistema dinâmico/circuito?;\(\text{Estabilidade Absoluta (Decaimento Exponencial). O sistema dissipa a energia.}\)
O que um Autovalor (\(\lambda\)) Real Positivo significa num sistema dinâmico/circuito?;\(\text{Instabilidade (Crescimento Exponencial). O sistema explode e satura (ex: microfonia).}\)
O que os Autovalores Complexos (\(\lambda = \alpha \pm \beta i\)) indicam no circuito?;\(\text{Induzem oscilação. Se a parte real } \alpha < 0 \text{ (Estável e oscila decaindo). Se } \alpha > 0 \text{ (Instável, oscila crescendo).}\)
Conexão entre a Matriz de Estados de um circuito e sua Função de Transferência \(G(s)\);\(\text{Os Polos do denominador de } G(s) \text{ são exatamente os Autovalores da Matriz de Estados do Sistema.}\)
Por que a força magnética (\(F = q\mathbf{v} \times \mathbf{B}\)) é um Produto Vetorial e não Escalar?;\(\text{Porque a Força é sempre perpendicular TANTO à velocidade da carga quanto às linhas de Campo Magnético em que ela entra.}\)
Potência Elétrica e Produto Escalar (\(P = \mathbf{F} \cdot \mathbf{v}\));\(\text{Potência só é positiva quando Força e Deslocamento estão alinhados. Componentes perpendiculares não realizam trabalho.}\)
Como a análise de malhas é formulada matricialmente?;\(\text{Sistema } Z \cdot \mathbf{I} = \mathbf{V}\text{, onde } Z \text{ é a matriz de impedâncias, } \mathbf{I} \text{ as correntes de malha e } \mathbf{V} \text{ as fontes.}\)
O que são parâmetros Z (impedância) de uma rede de dois portos?;\(\begin{bmatrix} V_1 \\ V_2 \end{bmatrix} = \begin{bmatrix} Z_{11} & Z_{12} \\ Z_{21} & Z_{22} \end{bmatrix} \begin{bmatrix} I_1 \\ I_2 \end{bmatrix}\)
O que \(\det(Z) = 0\) indica na matriz de impedâncias?;\(\text{A rede é singular (dependência linear entre malhas). Pode indicar curto-circuito ou circuito impossível.}\)
Representação em espaço de estados de um sistema LTI;\(\dot{\mathbf{x}} = A\mathbf{x} + B\mathbf{u}\text{, } \mathbf{y} = C\mathbf{x} + D\mathbf{u}\)
O que representa a matriz \(A\) no espaço de estados?;\(\text{A dinâmica interna do sistema. Seus autovalores são os polos do sistema (definem estabilidade e resposta).}\)
Condição de controlabilidade de um sistema (Kalman);\(\text{O sistema é controlável se a matriz } [B \ AB \ A^2B \ \dots \ A^{n-1}B] \text{ tem posto completo (}n\text{).}\)
O que é o número de condição de uma matriz e por que importa?;\(\text{Mede a sensibilidade da solução a erros numéricos. } \kappa(A) \text{ grande } \Rightarrow \text{ circuito/sistema mal condicionado (resultado instável numericamente).}\)
Por que a DFT (Transformada Discreta de Fourier) é uma operação matricial?;\(\text{Cada frequência } X[k] \text{ é o produto escalar do sinal } x[n] \text{ com um vetor base } e^{-j2\pi kn/N}\text{. A FFT é a versão eficiente.}\)