Como funciona o ciclo de varredura (Scan Cycle) de um CLP?;1) Lê todas as Entradas. 2) Executa o programa linha a linha. 3) Atualiza todas as Saídas. Repete (~1-20ms).
CLP: o que substituiu na indústria;Painéis gigantes de contatores e relés cablados. Alterar a lógica passou a ser reprogramar software em vez de refazer fiação
Linguagem Ladder: conceito;Linguagem gráfica que imita o diagrama elétrico de contatores. Desenvolvida para que eletricistas de manutenção consigam ler e programar.
Dois contatos em SÉRIE em Ladder equivalem a qual porta lógica?;AND — ambos precisam estar fechados para a bobina energizar.
Dois contatos em PARALELO em Ladder equivalem a qual porta lógica?;OR — basta um estar fechado para conduzir.
Bloco Lógico: Timer TON (On-Delay);Inicia contagem quando a entrada (IN) recebe sinal contínuo. Se atingir o tempo programado (PT), aciona a saída (Q).
Bloco Lógico: Timer TOFF (Off-Delay);A saída (Q) liga imediatamente com a entrada. O tempo só começa a contar na queda do sinal IN. Ao finalizar, desliga Q.
Bloco Lógico: Timer TP (Pulse);Independente da duração do pulso na entrada, mantém a saída ativa por um tempo fixo e exato (PT), desligando ao final.
Bloco Lógico: Contador CTU (Counter Up);Soma +1 a cada pulso na entrada. Quando a contagem (CV) atinge o setpoint (PV), aciona a saída (Q) até receber Reset.
Etapa (Step) num GRAFCET;Bloco associado a uma ação isolada (ex: "Ligar Bomba 1"). Permanece ativa até a transição ser satisfeita
Transição num GRAFCET;Condição lógica (sensores, timers) que autoriza a passagem do controle de uma etapa para a próxima
GRAFCET/SFC: quando usar em vez de Ladder puro?;Para processos sequenciais (Enche → Esquenta → Drena). Ladder puro para máquinas de estado grandes fica poluído e difícil de depurar.
Diferença entre Sensor Indutivo e Capacitivo;Indutivo: detecta exclusivamente metais (baseado em relutância). Capacitivo: detecta qualquer material (metal, plástico, líquido, grãos).
Princípio de operação do Encoder Industrial;Acoplado ao eixo, emite pulsos codificados (disco óptico com ranhuras) que reportam posição angular, velocidade e direção de rotação.
Sensoriamento NPN (Sink) — como opera?;Quando o sensor detecta, conecta internamente o fio de saída ao GND (0V). Padrão comum em equipamentos asiáticos.
Sensoriamento PNP (Source) — como opera?;Quando o sensor detecta, conecta internamente o fio de saída ao +24VDC. Padrão comum em equipamentos europeus e no Brasil.
Loop 4-20mA: o que representam os extremos?;4mA = zero da escala física (tanque vazio, 0°C). 20mA = fundo de escala (tanque cheio, temperatura máxima).
Por que o padrão industrial começa em 4mA e não em 0mA?;Para garantir fail-safe: se o CLP ler 0mA, sabe que o cabo rompeu ou o sensor falhou, em vez de confundir com "leitura zero" legítima.
No loop 4-20mA (0 a 100°C), qual temperatura corresponde a 12mA?;50°C — ponto médio exato da escala.
Contator de potência;Relé robusto: bobina de comando (24V/110V) aciona contatos de força que comutam cargas trifásicas pesadas (380V, dezenas de amperes)
Contato NA (Normalmente Aberto): comportamento;Repouso: aberto (não conduz). Ao energizar a bobina: fecha e conduz corrente.
Contato NF (Normalmente Fechado): comportamento;Repouso: fechado (conduz). Ao energizar a bobina: abre e interrompe a corrente.
"Selo" (auto-retenção) em comando de motor;Contato NA auxiliar do próprio contator em paralelo com o botão Liga — após apertar e soltar, mantém a bobina energizada
Intertravamento elétrico de reversão;Contato NF de K1 em série com bobina de K2 (e vice-versa) — impede atração simultânea, evitando curto entre fases
Com o selo ativo (motor girando), o que acontece ao apertar o botão de Emergência (S0)?;Sendo NF em série, apertá-lo abre o circuito, interrompe a corrente do selo, e o contator desarma — o motor para.
Botão de Emergência (S0): por que DEVE ser NF?;Fail-safe: fio rompido abre o circuito como se alguém tivesse pressionado S0, parando a máquina. Com NA, fio rompido impediria desligamento
Circuito de Comando vs Circuito de Força;Comando: fios finos (0.5-1.5mm²), 24V/110V, aciona bobinas. Força: fios grossos (10-25mm²), 380V trifásico, alimenta motores
Por que a corrente de partida de um motor é tão alta (5-8× nominal)?;Com rotor parado (\(s=1\)), não existe FCEM. Eletricamente, o motor se comporta como um transformador em curto-circuito.
Por que concessionárias proíbem partida direta em motores grandes (>5-7.5 CV)?;O pico de inrush provoca grandes afundamentos de tensão na rede, afetando outros consumidores.
Partida Estrela-Triângulo (Y-Δ): por que reduz a corrente em 3×?;Em Y, cada bobina recebe \(V_L/\sqrt{3}\). Como a potência é proporcional a \(V^2\), a corrente puxada cai por fator \((\sqrt{3})^2 = 3\).
Partida Y-Δ: resumo operacional;Parte em Estrela (tensão reduzida). Após temporizador, comuta para Triângulo (tensão plena). O inrush cai 3× comparado à partida direta.
Soft-Starter;Tiristores (SCR) que elevam gradualmente a tensão RMS de 0 a 100%, eliminando choques elétricos e mecânicos na partida
Diferença fundamental: Soft-Starter vs Inversor de Frequência (VFD);Soft-Starter controla apenas tensão durante partida/parada (f=60Hz fixa). VFD modula V e f continuamente, permitindo controle total de velocidade.
Princípio \(V/f\) constante nos Inversores VFD;Manter \(V/f\) constante preserva o fluxo magnético nominal do motor, garantindo torque constante independente da velocidade.
No VFD, o que ocorre se \(f > f_{nominal}\) (ex: 90Hz em motor de 60Hz)?;A tensão não pode subir além da nominal da rede, então o fluxo cai. O torque decresce — região de enfraquecimento de campo.
Por que VFDs geram correntes harmônicas na rede?;Devido à retificação interna AC→DC e posterior chaveamento PWM com IGBTs em alta frequência (2-10kHz).
Como mitigar harmônicos gerados por VFDs?;Instalar filtros indutivos (reatores de linha / line chokes) na entrada do inversor.
Exemplo: Motor 4 pólos, VFD a 30Hz. Qual \(n_s\)?;900 RPM (\(120 \times 30 / 4\)).
Exemplo: Mesmo motor, VFD a 60Hz. Qual \(n_s\)?;1800 RPM (\(120 \times 60 / 4\)).
Exemplo: Motor de \(I_{nom}=50\text{A}\), partida direta. Corrente estimada?;250A a 400A (5 a 8× nominal).
Exemplo: Mesmo motor (50A), partida Y-Δ. Corrente estimada?;83A a 133A (valor da direta dividido por 3).
Na malha PID, o que faz a Ação Proporcional (P)?;Ataca o erro presente. Sozinha, jamais zera o erro de regime — sempre sobra um offset residual.
Na malha PID, o que faz a Ação Integral (I)?;Acumula o erro ao longo do tempo e ajusta a saída até anular completamente o erro de regime (offset).
Na malha PID, o que faz a Ação Derivativa (D)?;Age como freio preditivo: analisa a taxa de variação do erro e inibe oscilações e overshoot.
Protocolo Modbus: RTU vs TCP;RTU usa barramento serial RS-485 (cabo analógico). TCP usa Ethernet/IP (RJ45). O protocolo lógico Mestre/Escravo é o mesmo nos dois.
Rede Profibus-DP: por que usa modelo Mestre-Escravo?;Para garantir determinismo temporal. O Mestre consulta cada Escravo sequencialmente, evitando colisões de dados no barramento.
Válvula Direcional Pneumática "5/2 Vias";Corpo com 5 pórticos e 2 posições comutáveis. Usada para acionar cilindros de dupla ação (avança/recua).